A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||60.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379448||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||70.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379449||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||75.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379450||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||75.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379451||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||75.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379452||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||75.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379453||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||85.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379454||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||90.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379455||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||100.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379456||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||100.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379457||||||||||||||||||
